subjectID,sessionID,taskID,dataset
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
1,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
2,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
3,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
4,1.0,0,fog_star
